training_seed,scenario,step,configured_horizon,horizon,candidate_index,candidate_label,candidate_group,candidate_epsilon,candidate_sign,input_action_delta_l2,execution_delta_l2,execution_survived,anchor_execution_id,execution_id,discovery_total_cost,discovery_cost_advantage,discovery_completion_service_level,discovery_patients_lost,discovery_patient_ineligibility_during_manufacturing_rate,discovery_clinical_noninferior,validation_total_cost,validation_cost_advantage,validation_completion_service_level,validation_patients_lost,validation_patient_ineligibility_during_manufacturing_rate,validation_clinical_noninferior
60,routing_persistent_hotspot_cluster1,0,remaining,52,0,mdl2,anchor,0.0,0.0,0.0,0.0,True,,dee6c571c0b5481b,2596138641.232672,0.0,0.4947175117289759,2366.0,0.07127286245090976,True,2551672371.4260798,0.0,0.49293018628110863,2285.2,0.07051249154091778,True
60,routing_persistent_hotspot_cluster1,0,remaining,52,1,specimen_transfer:+1x0.05,specimen_transfer,0.05,1.0,0.18741388618946075,0.0,False,b393978842a0fa3d,b393978842a0fa3d,2596138641.232672,0.0,0.4947175117289759,2366.0,0.07127286245090976,True,2551672371.4260798,0.0,0.49293018628110863,2285.2,0.07051249154091778,True
60,routing_persistent_hotspot_cluster1,0,remaining,52,2,specimen_transfer:-1x0.05,specimen_transfer,0.05,-1.0,0.18741388618946075,0.0,False,b393978842a0fa3d,b393978842a0fa3d,2596138641.232672,0.0,0.4947175117289759,2366.0,0.07127286245090976,True,2551672371.4260798,0.0,0.49293018628110863,2285.2,0.07051249154091778,True
60,routing_persistent_hotspot_cluster1,0,remaining,52,3,specimen_transfer:+1x0.1,specimen_transfer,0.1,1.0,0.3748277723789215,0.0,False,b393978842a0fa3d,b393978842a0fa3d,2596138641.232672,0.0,0.4947175117289759,2366.0,0.07127286245090976,True,2551672371.4260798,0.0,0.49293018628110863,2285.2,0.07051249154091778,True
60,routing_persistent_hotspot_cluster1,0,remaining,52,4,specimen_transfer:-1x0.1,specimen_transfer,0.1,-1.0,0.3748277723789215,0.0,False,b393978842a0fa3d,b393978842a0fa3d,2596138641.232672,0.0,0.4947175117289759,2366.0,0.07127286245090976,True,2551672371.4260798,0.0,0.49293018628110863,2285.2,0.07051249154091778,True
60,routing_persistent_hotspot_cluster1,0,remaining,52,5,reagent_transfer:+1x0.05,reagent_transfer,0.05,1.0,0.17411403357982635,10.845827551544149,True,b393978842a0fa3d,3ec4a303c9deab46,2596227404.416614,-88763.18394184113,0.4947175117289759,2366.0,0.07127286245090976,True,2551699603.8702826,-27232.444202899933,0.49293018628110863,2285.2,0.0705171025904545,False
60,routing_persistent_hotspot_cluster1,0,remaining,52,6,reagent_transfer:-1x0.05,reagent_transfer,0.05,-1.0,0.17411403357982635,10.845827551544149,True,b393978842a0fa3d,a0cc51cb9754c006,2596199542.6224074,-60901.38973522186,0.4947175117289759,2366.0,0.07127286245090976,True,2551713134.744533,-40763.31845331192,0.49293018628110863,2285.2,0.0705171025904545,False
60,routing_persistent_hotspot_cluster1,0,remaining,52,7,reagent_transfer:+1x0.1,reagent_transfer,0.1,1.0,0.3482280671596527,21.691655103088298,True,b393978842a0fa3d,6dd85d969c6c2d33,2596961727.731813,-823086.4991407394,0.49460401723345887,2367.0,0.07119094313772127,False,2551605315.938525,67055.48755455017,0.49293018628110863,2285.2,0.0705171025904545,False
60,routing_persistent_hotspot_cluster1,0,remaining,52,8,reagent_transfer:-1x0.1,reagent_transfer,0.1,-1.0,0.3482280671596527,21.691655103088298,True,b393978842a0fa3d,4d25a48109d1ed0a,2596157040.4082913,-18399.175619125366,0.4947175117289759,2366.0,0.07127286245090976,True,2551582779.828843,89591.5972366333,0.49293018628110863,2285.0,0.07050780212208416,True
60,routing_persistent_hotspot_cluster1,0,remaining,52,9,combined_transfer:+1x0.05,combined_transfer,0.05,1.0,0.20946519076824188,11.030934245641223,True,7404efe523523078,7bb8a49be5055498,2640879430.70221,-44740789.469537735,0.4846391482606098,2420.0,0.07441477106895288,False,2607061987.19646,-55389615.77038002,0.4806184496176643,2352.6,0.07548244129406073,False
60,routing_persistent_hotspot_cluster1,0,remaining,52,10,combined_transfer:-1x0.05,combined_transfer,0.05,-1.0,0.21535010635852814,11.059809001209839,True,7404efe523523078,ecd8360de55fde74,2614733036.692078,-18594395.4594059,0.4861630380233584,2414.3333333333335,0.07570464622656073,False,2555566322.5870714,-3893951.1609916687,0.4887020086646624,2316.8,0.07342337132400227,False
60,routing_persistent_hotspot_cluster1,0,remaining,52,11,combined_transfer:+1x0.1,combined_transfer,0.1,1.0,0.41893038153648376,22.05211612833089,True,7404efe523523078,2361dc4bbc07bdcf,2659502980.10894,-63364338.87626791,0.48106992181755337,2439.3333333333335,0.07632890581410036,False,2619595228.368333,-67922856.94225311,0.4791271365372518,2358.0,0.07536547020817995,False
60,routing_persistent_hotspot_cluster1,0,remaining,52,12,combined_transfer:-1x0.1,combined_transfer,0.1,-1.0,0.4307002127170563,22.119618007320472,True,7404efe523523078,66063a0a95f64796,2581396937.380762,14741703.851910114,0.49399815949753934,2376.6666666666665,0.07331922040855904,False,2516079483.3228817,35592888.10319805,0.49427963724217266,2295.2,0.07260452747627733,False
60,routing_persistent_hotspot_cluster1,6,remaining,46,0,mdl2,anchor,0.0,0.0,0.0,0.0,True,,8e02243ae4b32c24,2441849527.290733,0.0,0.5052958283274743,2217.6666666666665,0.06847101259828814,True,2441229230.6792107,0.0,0.5053614826487819,2219.8,0.06553183375348827,True
60,routing_persistent_hotspot_cluster1,6,remaining,46,1,specimen_transfer:+1x0.05,specimen_transfer,0.05,1.0,0.07139765471220016,3.1622776601683795,True,d8657084df7ef94d,6ddd21fe89e2b678,2445616186.505735,-3766659.21500206,0.5050710224692402,2223.0,0.0693572357032558,False,2441903182.1041584,-673951.4249477386,0.5052848041829981,2221.2,0.06570512443114067,False
60,routing_persistent_hotspot_cluster1,6,remaining,46,2,specimen_transfer:-1x0.05,specimen_transfer,0.05,-1.0,0.07139765471220016,3.1622776601683795,True,d8657084df7ef94d,810b6ac844a10c88,2443667873.31995,-1818346.0292172432,0.504958010533162,2223.0,0.06945731098112495,False,2440145514.256545,1083716.422665596,0.5051762851875303,2220.8,0.06565908181809935,False
60,routing_persistent_hotspot_cluster1,6,remaining,46,3,specimen_transfer:+1x0.1,specimen_transfer,0.1,1.0,0.14279530942440033,6.928203230275509,True,d8657084df7ef94d,f46b693606953050,2449245894.324123,-7396367.033390045,0.5047209313487144,2224.0,0.06996012842725868,False,2443459037.1094503,-2229806.4302396774,0.505039264614801,2222.0,0.0662654602474114,False
60,routing_persistent_hotspot_cluster1,6,remaining,46,4,specimen_transfer:-1x0.1,specimen_transfer,0.1,-1.0,0.14279530942440033,6.928203230275509,True,d8657084df7ef94d,07dbf63d010a78ae,2441323879.9749866,525647.3157463074,0.5051969633319887,2223.0,0.06924714846648787,False,2439753557.1698146,1475673.5093960762,0.5052115529130957,2219.8,0.06572077979341953,False
60,routing_persistent_hotspot_cluster1,6,remaining,46,5,reagent_transfer:+1x0.05,reagent_transfer,0.05,1.0,0.1615278720855713,10.012730901894345,True,7bb32cfc253170ec,a8388dc657ed2bdf,2442136577.3703275,-287050.0795946121,0.5053001379696979,2218.6666666666665,0.06884683112070432,False,2441436124.1270094,-206893.44779872894,0.5053614826487819,2219.8,0.06553183375348827,True
60,routing_persistent_hotspot_cluster1,6,remaining,46,6,reagent_transfer:-1x0.05,reagent_transfer,0.05,-1.0,0.1615278720855713,10.012730901894345,True,7bb32cfc253170ec,d904cd7776fdf024,2442813543.327145,-964016.0364122391,0.5051772887352505,2218.3333333333335,0.06856696760234633,False,2441073557.458538,155673.22067260742,0.5053614826487819,2219.8,0.06553183375348827,True
60,routing_persistent_hotspot_cluster1,6,remaining,46,7,reagent_transfer:+1x0.1,reagent_transfer,0.1,1.0,0.3230557441711426,18.628449215830578,True,7bb32cfc253170ec,7b512382d112029c,2442851776.3704734,-1002249.0797405243,0.5051772887352505,2218.6666666666665,0.06866286366598433,False,2441488977.9247007,-259747.24549007416,0.5053614826487819,2219.8,0.06553183375348827,True
60,routing_persistent_hotspot_cluster1,6,remaining,46,8,reagent_transfer:-1x0.1,reagent_transfer,0.1,-1.0,0.3230557143688202,18.628449215830578,True,7bb32cfc253170ec,f34d85e6cd5a07f8,2443048268.88273,-1198741.5919971466,0.5051772887352505,2218.3333333333335,0.06856696760234633,False,2441537469.6628156,-308238.983604908,0.5052554381100757,2220.2,0.06571837539165087,False
60,routing_persistent_hotspot_cluster1,6,remaining,46,9,combined_transfer:+1x0.05,combined_transfer,0.05,1.0,0.1776515692472458,10.100825691901434,True,e2919fd7cbd1394e,d5e8534284c728a0,2456067639.4787116,-14218112.187978745,0.5033472103539941,2232.0,0.07087605328579195,False,2450640447.6621604,-9411216.982949734,0.5035732081749205,2222.4,0.06681502355835789,False
60,routing_persistent_hotspot_cluster1,6,remaining,46,10,combined_transfer:-1x0.05,combined_transfer,0.05,-1.0,0.1776515692472458,10.100825691901434,True,e2919fd7cbd1394e,37451db51ead93cb,2499414250.9199414,-57564723.629208565,0.4874550365447153,2330.3333333333335,0.07579132788710602,False,2495875469.445359,-54646238.76614857,0.48772151098707284,2330.2,0.07208969607366418,False
60,routing_persistent_hotspot_cluster1,6,remaining,46,11,combined_transfer:+1x0.1,combined_transfer,0.1,1.0,0.3553031384944916,18.817723517059214,True,e2919fd7cbd1394e,8b9431eed0338c97,2490835413.527557,-48985886.236824036,0.4963009910900877,2266.3333333333335,0.07327825951401946,False,2486428956.333111,-45199725.65390015,0.4953115602712629,2268.8,0.06984826883608689,False
60,routing_persistent_hotspot_cluster1,6,remaining,46,12,combined_transfer:-1x0.1,combined_transfer,0.1,-1.0,0.3553031086921692,18.817723517059214,True,e2919fd7cbd1394e,146d2c48279036b4,2502337553.490317,-60488026.19958401,0.4863663859976867,2340.3333333333335,0.07691167902618316,False,2501985271.6858764,-60756041.00666571,0.48628310549893783,2337.6,0.07313045316940772,False
60,routing_persistent_hotspot_cluster1,12,remaining,40,0,mdl2,anchor,0.0,0.0,0.0,0.0,True,,c80538ba05b5971f,2052446146.6648843,0.0,0.5237387836720343,1867.6666666666667,0.06106908050110152,True,2087663495.6699634,0.0,0.5195500403599803,1908.8,0.06204371337820493,True
60,routing_persistent_hotspot_cluster1,12,remaining,40,1,specimen_transfer:+1x0.05,specimen_transfer,0.05,1.0,0.12875576317310333,13.341664064126334,True,0177e37e9bbb1cde,dc877336945d0a6b,2050439850.3616407,2006296.303243637,0.5244488418612381,1867.3333333333333,0.06095447759083033,True,2085335841.2915504,2327654.378412962,0.5199036799764111,1909.0,0.062148539864594676,False
60,routing_persistent_hotspot_cluster1,12,remaining,40,2,specimen_transfer:-1x0.05,specimen_transfer,0.05,-1.0,0.12875576317310333,8.94427190999916,True,0177e37e9bbb1cde,f69213212754003b,2056825147.3666155,-4379000.701731205,0.5227200189573944,1872.3333333333333,0.06124128350169548,False,2087854985.758561,-191490.0885975361,0.5195304094722856,1906.6,0.06091092016481214,False
60,routing_persistent_hotspot_cluster1,12,remaining,40,3,specimen_transfer:+1x0.1,specimen_transfer,0.1,1.0,0.25751152634620667,24.372115213907882,True,0177e37e9bbb1cde,9829d8ffa517b409,2041631953.4956295,10814193.16925478,0.5264777454088763,1855.3333333333333,0.058156677924474647,True,2080648542.257391,7014953.412572384,0.5205647251255915,1905.8,0.06176564440676906,True
60,routing_persistent_hotspot_cluster1,12,remaining,40,4,specimen_transfer:-1x0.1,specimen_transfer,0.1,-1.0,0.25751152634620667,13.784048752090222,True,0177e37e9bbb1cde,2c4f1cfd53a08986,2054670399.1861484,-2224252.5212640762,0.523736059883177,1867.3333333333333,0.060097882656303926,False,2096477113.9904583,-8813618.32049489,0.5185952956568262,1911.6,0.06153135676228472,False
60,routing_persistent_hotspot_cluster1,12,remaining,40,5,reagent_transfer:+1x0.05,reagent_transfer,0.05,1.0,0.15802836418151855,11.337538890179514,True,8c5a1bd405874af8,22a5afadf6c83ca0,2051895689.115577,550457.5493073463,0.5237387836720343,1867.6666666666667,0.06106908050110152,True,2087767119.882164,-103624.21220064163,0.5195500403599803,1908.8,0.06204371337820493,True
60,routing_persistent_hotspot_cluster1,12,remaining,40,6,reagent_transfer:-1x0.05,reagent_transfer,0.05,-1.0,0.15802836418151855,10.885700509051881,True,8c5a1bd405874af8,0708148727f0a1e2,2052092097.297929,354049.3669552803,0.5238584509968712,1867.3333333333333,0.060868916515468295,True,2087661304.5151112,2191.1548521518707,0.5195500403599803,1908.8,0.06210817049801596,False
60,routing_persistent_hotspot_cluster1,12,remaining,40,7,reagent_transfer:+1x0.1,reagent_transfer,0.1,1.0,0.3160567283630371,22.341802270194954,True,8c5a1bd405874af8,a4b70fca82bab577,2050911633.9838324,1534512.6810519695,0.5239187391743597,1867.3333333333333,0.06086319209261892,True,2087712822.4324036,-49326.76244020462,0.5195500403599803,1908.8,0.06204371337820493,True
60,routing_persistent_hotspot_cluster1,12,remaining,40,8,reagent_transfer:-1x0.1,reagent_transfer,0.1,-1.0,0.3160567283630371,21.871929819794065,True,8c5a1bd405874af8,23650eda73a5582f,2052581352.4810874,-135205.81620311737,0.5237986173344528,1868.0,0.060966136296860214,False,2087641319.0588984,22176.61106491089,0.5195873746888957,1908.8,0.06204659414333615,False
60,routing_persistent_hotspot_cluster1,12,remaining,40,9,combined_transfer:+1x0.05,combined_transfer,0.05,1.0,0.2184145450592041,11.657827417645107,True,599f71ce19a71279,0c20e05d0780949d,2096128722.190993,-43682575.52610874,0.5130610977464146,1923.0,0.06455764041859882,False,2124156721.415474,-36493225.74551058,0.509510582388993,1961.2,0.06494330921275401,False
60,routing_persistent_hotspot_cluster1,12,remaining,40,10,combined_transfer:-1x0.05,combined_transfer,0.05,-1.0,0.2184145450592041,11.218896005669963,True,599f71ce19a71279,323d056b33153bce,2089443208.2888978,-36997061.624013424,0.5113454392717872,1946.3333333333333,0.06583042751194641,False,2126603323.395707,-38939827.72574353,0.5062362157046982,1986.2,0.06588720086171346,False
60,routing_persistent_hotspot_cluster1,12,remaining,40,11,combined_transfer:+1x0.1,combined_transfer,0.1,1.0,0.4368290901184082,22.99166668020282,True,599f71ce19a71279,3720b0f7a49acb94,2095423711.0537643,-42977564.388880014,0.5172591216402399,1881.0,0.062038177902042156,False,2120614480.2730231,-32950984.60305977,0.5146592794362224,1920.8,0.062152204016743484,False
60,routing_persistent_hotspot_cluster1,12,remaining,40,12,combined_transfer:-1x0.1,combined_transfer,0.1,-1.0,0.4368290901184082,22.535348279870384,True,599f71ce19a71279,a216f526e5a301fd,2078611249.1092198,-26165102.44433546,0.5114401313787145,1959.0,0.06552497706344199,False,2123016711.6790032,-35353216.00903988,0.5048980957738138,1998.8,0.06771195884917076,False
60,routing_persistent_hotspot_cluster1,18,remaining,34,0,mdl2,anchor,0.0,0.0,0.0,0.0,True,,8030469b31e8fac9,1812196918.058321,0.0,0.5338715920639981,1684.0,0.06556537591754696,True,1938922640.049844,0.0,0.5156754227236398,1772.4,0.06531904119335759,True
60,routing_persistent_hotspot_cluster1,18,remaining,34,1,specimen_transfer:+1x0.05,specimen_transfer,0.05,1.0,0.11436264216899872,7.745966692414834,True,4edf6432ff9c4e22,11fd757e1128b803,1815695609.5806758,-3498691.522354841,0.5336248870081045,1688.0,0.06643213034874124,False,1938928646.0716681,-6006.021824121475,0.5158579490914539,1769.6,0.06481853637999384,True
60,routing_persistent_hotspot_cluster1,18,remaining,34,2,specimen_transfer:-1x0.05,specimen_transfer,0.05,-1.0,0.11436264216899872,10.198039027185569,True,4edf6432ff9c4e22,6cb78442da07218d,1815725480.024453,-3528561.9661319256,0.5328093598634994,1693.6666666666667,0.06682258626341554,False,1941770973.0526817,-2848333.002837658,0.5145456039241216,1774.8,0.06607480537045203,False
60,routing_persistent_hotspot_cluster1,18,remaining,34,3,specimen_transfer:+1x0.1,specimen_transfer,0.1,1.0,0.22872528433799744,14.212670403551895,True,4edf6432ff9c4e22,17dc2e4c995b7a18,1815129606.334174,-2932688.2758529186,0.5337493549530975,1681.3333333333333,0.06589897942985048,False,1942236591.5565426,-3313951.5066986084,0.5156855213600047,1768.6,0.06518232337094029,True
60,routing_persistent_hotspot_cluster1,18,remaining,34,4,specimen_transfer:-1x0.1,specimen_transfer,0.1,-1.0,0.22872528433799744,13.490737563232042,True,4edf6432ff9c4e22,de6e0ed65045a47b,1822934847.4956524,-10737929.437331438,0.5313929086045439,1691.6666666666667,0.06804941269498865,False,1945052083.161087,-6129443.11124301,0.5143056105260743,1775.2,0.06635606085410799,False
60,routing_persistent_hotspot_cluster1,18,remaining,34,5,reagent_transfer:+1x0.05,reagent_transfer,0.05,1.0,0.136638343334198,8.948841291299523,True,d862778dd49dbcdb,3d8716105ea093e0,1812130964.0954268,65953.96289420128,0.5338715920639981,1684.0,0.06557083508018671,False,1939117953.1035721,-195313.05372810364,0.5156410052395579,1772.4,0.06531904119335759,False
60,routing_persistent_hotspot_cluster1,18,remaining,34,6,reagent_transfer:-1x0.05,reagent_transfer,0.05,-1.0,0.136638343334198,12.343161737815423,True,d862778dd49dbcdb,6235dee28871a6e1,1812934453.3480446,-737535.2897236347,0.5336742755683391,1684.3333333333333,0.06578645080234755,False,1939021247.9894633,-98607.93961930275,0.5157107584126857,1772.0,0.06531484328553461,True
60,routing_persistent_hotspot_cluster1,18,remaining,34,7,reagent_transfer:+1x0.1,reagent_transfer,0.1,1.0,0.273276686668396,17.066867460228867,True,d862778dd49dbcdb,f39f0939373f283e,1812480960.0929544,-284042.03463339806,0.5336813519537854,1684.3333333333333,0.06587717797717114,False,1939064344.585659,-141704.53581500053,0.5156754227236398,1772.4,0.06531904119335759,True
