training_seed,scenario,built_scenario,step,configured_horizon,horizon,candidate_index,candidate_label,candidate_group,candidate_epsilon,candidate_sign,input_action_delta_l2,execution_delta_l2,execution_survived,anchor_execution_id,execution_id,discovery_total_cost,discovery_cost_advantage,discovery_completion_service_level,discovery_patients_lost,discovery_patient_ineligibility_during_manufacturing_rate,discovery_clinical_noninferior,validation_total_cost,validation_cost_advantage,validation_completion_service_level,validation_patients_lost,validation_patient_ineligibility_during_manufacturing_rate,validation_clinical_noninferior
60,routing_abrupt_regime_shift,routing_abrupt_regime_shift,0,remaining,52,0,mdl2,anchor,0.0,0.0,0.0,0.0,True,,0a7cd0ecfbeb90da,2060984267.2300255,0.0,0.5581212495641457,1758.3333333333333,0.052031898888083794,True,2116300049.7801056,0.0,0.547421096521297,1825.4,0.05676368680446153,True
60,routing_abrupt_regime_shift,routing_abrupt_regime_shift,0,remaining,52,1,specimen_transfer:+1x0.05,specimen_transfer,0.05,1.0,0.18741388618946075,0.0,False,b393978842a0fa3d,b393978842a0fa3d,2060984267.2300255,0.0,0.5581212495641457,1758.3333333333333,0.052031898888083794,True,2116300049.7801056,0.0,0.547421096521297,1825.4,0.05676368680446153,True
60,routing_abrupt_regime_shift,routing_abrupt_regime_shift,0,remaining,52,2,specimen_transfer:-1x0.05,specimen_transfer,0.05,-1.0,0.18741388618946075,0.0,False,b393978842a0fa3d,b393978842a0fa3d,2060984267.2300255,0.0,0.5581212495641457,1758.3333333333333,0.052031898888083794,True,2116300049.7801056,0.0,0.547421096521297,1825.4,0.05676368680446153,True
60,routing_abrupt_regime_shift,routing_abrupt_regime_shift,0,remaining,52,3,specimen_transfer:+1x0.1,specimen_transfer,0.1,1.0,0.3748277723789215,0.0,False,b393978842a0fa3d,b393978842a0fa3d,2060984267.2300255,0.0,0.5581212495641457,1758.3333333333333,0.052031898888083794,True,2116300049.7801056,0.0,0.547421096521297,1825.4,0.05676368680446153,True
60,routing_abrupt_regime_shift,routing_abrupt_regime_shift,0,remaining,52,4,specimen_transfer:-1x0.1,specimen_transfer,0.1,-1.0,0.3748277723789215,0.0,False,b393978842a0fa3d,b393978842a0fa3d,2060984267.2300255,0.0,0.5581212495641457,1758.3333333333333,0.052031898888083794,True,2116300049.7801056,0.0,0.547421096521297,1825.4,0.05676368680446153,True
60,routing_abrupt_regime_shift,routing_abrupt_regime_shift,0,remaining,52,5,reagent_transfer:+1x0.05,reagent_transfer,0.05,1.0,0.17445816099643707,10.87965531206039,True,b393978842a0fa3d,32790ba6d7b7df43,2061305526.5387745,-321259.3087489605,0.5581212495641457,1758.3333333333333,0.052031898888083794,True,2116162750.8009574,137298.9791481495,0.547421096521297,1825.4,0.05676368680446153,True
60,routing_abrupt_regime_shift,routing_abrupt_regime_shift,0,remaining,52,6,reagent_transfer:-1x0.05,reagent_transfer,0.05,-1.0,0.17445816099643707,10.87965531206039,True,b393978842a0fa3d,9f56bd5749ee1de4,2061116832.8560364,-132565.62601089478,0.5581212495641457,1758.3333333333333,0.052031898888083794,True,2116301701.7821987,-1652.002093076706,0.547421096521297,1825.4,0.05676368680446153,True
60,routing_abrupt_regime_shift,routing_abrupt_regime_shift,0,remaining,52,7,reagent_transfer:+1x0.1,reagent_transfer,0.1,1.0,0.34891632199287415,21.75931062412078,True,b393978842a0fa3d,96779d5ced2c31f0,2061255292.7825267,-271025.55250120163,0.5581212495641457,1758.3333333333333,0.052031898888083794,True,2116063644.7542667,236405.02583885193,0.547421096521297,1825.4,0.05676368680446153,True
60,routing_abrupt_regime_shift,routing_abrupt_regime_shift,0,remaining,52,8,reagent_transfer:-1x0.1,reagent_transfer,0.1,-1.0,0.34891632199287415,21.75931062412078,True,b393978842a0fa3d,c033bdeb2c53d76c,2061101330.2686636,-117063.03863811493,0.5581212495641457,1758.3333333333333,0.052031898888083794,True,2116316498.5124993,-16448.732393741608,0.547421096521297,1825.4,0.05676368680446153,True
60,routing_abrupt_regime_shift,routing_abrupt_regime_shift,0,remaining,52,9,combined_transfer:+1x0.05,combined_transfer,0.05,1.0,0.20885208249092102,11.083598970157354,True,bc469802436ccd2c,633b621015f1b53d,2117740876.405595,-56756609.175569534,0.5434833150853868,1831.6666666666667,0.0557314230230449,False,2179409973.0327444,-63109923.25263882,0.5309774808498274,1906.6,0.061262028616985445,False
