scenario,state_id,decision_epoch,bound_count,stream,crn_seed,arm,overtime_rung,remaining_cost,completion_service_level,patients_lost,manufacturing_ineligibility,scenario_declaration_sha256
routing_nominal_history,routing_nominal_history:seed96100000:epoch30,30,20,discovery,96200001,u_0.80,0.8,1044998266.7013705,0.6582329317269077,803.0,0.0396964389959136,5ebbc98dbd907dd8005e5a079d53d37321acce7a607ef1d5b680ecd4655c416b
routing_nominal_history,routing_nominal_history:seed96100000:epoch30,30,20,discovery,96200001,u_0.90,0.9,1045293961.6858621,0.6582329317269077,803.0,0.0396964389959136,5ebbc98dbd907dd8005e5a079d53d37321acce7a607ef1d5b680ecd4655c416b
routing_nominal_history,routing_nominal_history:seed96100000:epoch30,30,20,discovery,96200001,u_1.00,1.0,1033045492.4425442,0.6674698795180722,785.0,0.039058012636415854,5ebbc98dbd907dd8005e5a079d53d37321acce7a607ef1d5b680ecd4655c416b
routing_nominal_history,routing_nominal_history:seed96100000:epoch30,30,20,discovery,96200002,anchor,-1.0,1158621223.3205438,0.6233463035019455,927.0,0.04332129963898917,5ebbc98dbd907dd8005e5a079d53d37321acce7a607ef1d5b680ecd4655c416b
routing_nominal_history,routing_nominal_history:seed96100000:epoch30,30,20,discovery,96200002,u_0.00,0.0,1166857236.2808115,0.6167315175097277,937.0,0.04418886198547216,5ebbc98dbd907dd8005e5a079d53d37321acce7a607ef1d5b680ecd4655c416b
routing_nominal_history,routing_nominal_history:seed96100000:epoch30,30,20,discovery,96200002,u_0.10,0.1,1164653954.1878254,0.6178988326848249,938.0,0.043817527010804325,5ebbc98dbd907dd8005e5a079d53d37321acce7a607ef1d5b680ecd4655c416b
routing_nominal_history,routing_nominal_history:seed96100000:epoch30,30,20,discovery,96200002,u_0.20,0.2,1159900595.593858,0.6217898832684825,935.0,0.04373876572798083,5ebbc98dbd907dd8005e5a079d53d37321acce7a607ef1d5b680ecd4655c416b
routing_nominal_history,routing_nominal_history:seed96100000:epoch30,30,20,discovery,96200002,u_0.30,0.3,1158012677.292153,0.6237354085603113,931.0,0.04326923076923077,5ebbc98dbd907dd8005e5a079d53d37321acce7a607ef1d5b680ecd4655c416b
routing_nominal_history,routing_nominal_history:seed96100000:epoch30,30,20,discovery,96200002,u_0.40,0.4,1151128011.4705398,0.6272373540856031,922.0,0.04201680672268908,5ebbc98dbd907dd8005e5a079d53d37321acce7a607ef1d5b680ecd4655c416b
routing_nominal_history,routing_nominal_history:seed96100000:epoch30,30,20,discovery,96200002,u_0.50,0.5,1145968996.9122772,0.6295719844357976,916.0,0.04126794258373206,5ebbc98dbd907dd8005e5a079d53d37321acce7a607ef1d5b680ecd4655c416b
routing_nominal_history,routing_nominal_history:seed96100000:epoch30,30,20,discovery,96200002,u_0.60,0.6,1145921534.2226171,0.6291828793774319,916.0,0.04181600955794504,5ebbc98dbd907dd8005e5a079d53d37321acce7a607ef1d5b680ecd4655c416b
routing_nominal_history,routing_nominal_history:seed96100000:epoch30,30,20,discovery,96200002,u_0.70,0.7,1145691644.0875037,0.6295719844357976,915.0,0.04293381037567084,5ebbc98dbd907dd8005e5a079d53d37321acce7a607ef1d5b680ecd4655c416b
routing_nominal_history,routing_nominal_history:seed96100000:epoch30,30,20,discovery,96200002,u_0.80,0.8,1122809542.6802506,0.6408560311284047,885.0,0.03882352941176471,5ebbc98dbd907dd8005e5a079d53d37321acce7a607ef1d5b680ecd4655c416b
routing_nominal_history,routing_nominal_history:seed96100000:epoch30,30,20,discovery,96200002,u_0.90,0.9,1123105237.664742,0.6408560311284047,885.0,0.03882352941176471,5ebbc98dbd907dd8005e5a079d53d37321acce7a607ef1d5b680ecd4655c416b
routing_nominal_history,routing_nominal_history:seed96100000:epoch30,30,20,discovery,96200002,u_1.00,1.0,1115540147.9176188,0.6474708171206226,874.0,0.04079254079254079,5ebbc98dbd907dd8005e5a079d53d37321acce7a607ef1d5b680ecd4655c416b
routing_nominal_history,routing_nominal_history:seed96100000:epoch30,30,20,validation,96300000,anchor,-1.0,956940529.0991601,0.7068889863975428,724.0,0.035329341317365266,5ebbc98dbd907dd8005e5a079d53d37321acce7a607ef1d5b680ecd4655c416b
routing_nominal_history,routing_nominal_history:seed96100000:epoch30,30,20,validation,96300000,u_0.00,0.0,967278170.525285,0.6972356296621325,737.0,0.03746223564954683,5ebbc98dbd907dd8005e5a079d53d37321acce7a607ef1d5b680ecd4655c416b
routing_nominal_history,routing_nominal_history:seed96100000:epoch30,30,20,validation,96300000,u_0.10,0.1,965157105.031949,0.700307152259763,735.0,0.036813518406759206,5ebbc98dbd907dd8005e5a079d53d37321acce7a607ef1d5b680ecd4655c416b
routing_nominal_history,routing_nominal_history:seed96100000:epoch30,30,20,validation,96300000,u_0.20,0.2,963903222.5336677,0.7007459412022817,736.0,0.036275695284159616,5ebbc98dbd907dd8005e5a079d53d37321acce7a607ef1d5b680ecd4655c416b
routing_nominal_history,routing_nominal_history:seed96100000:epoch30,30,20,validation,96300000,u_0.30,0.3,949880408.7847186,0.711715664765248,722.0,0.0345855694692904,5ebbc98dbd907dd8005e5a079d53d37321acce7a607ef1d5b680ecd4655c416b
routing_nominal_history,routing_nominal_history:seed96100000:epoch30,30,20,validation,96300000,u_0.40,0.4,941829871.7116169,0.7165423431329531,710.0,0.03433984606275903,5ebbc98dbd907dd8005e5a079d53d37321acce7a607ef1d5b680ecd4655c416b
routing_nominal_history,routing_nominal_history:seed96100000:epoch30,30,20,validation,96300000,u_0.50,0.5,946085843.0414759,0.7143483984203598,715.0,0.035545023696682464,5ebbc98dbd907dd8005e5a079d53d37321acce7a607ef1d5b680ecd4655c416b
routing_nominal_history,routing_nominal_history:seed96100000:epoch30,30,20,validation,96300000,u_0.60,0.6,945856128.0397415,0.7152259763053971,715.0,0.03433984606275903,5ebbc98dbd907dd8005e5a079d53d37321acce7a607ef1d5b680ecd4655c416b
routing_nominal_history,routing_nominal_history:seed96100000:epoch30,30,20,validation,96300000,u_0.70,0.7,943700861.632586,0.7174199210179903,711.0,0.03368794326241135,5ebbc98dbd907dd8005e5a079d53d37321acce7a607ef1d5b680ecd4655c416b
routing_nominal_history,routing_nominal_history:seed96100000:epoch30,30,20,validation,96300000,u_0.80,0.8,926263334.9538779,0.7301448003510311,692.0,0.03259604190919674,5ebbc98dbd907dd8005e5a079d53d37321acce7a607ef1d5b680ecd4655c416b
routing_nominal_history,routing_nominal_history:seed96100000:epoch30,30,20,validation,96300000,u_0.90,0.9,926559029.9383694,0.7301448003510311,692.0,0.03259604190919674,5ebbc98dbd907dd8005e5a079d53d37321acce7a607ef1d5b680ecd4655c416b
routing_nominal_history,routing_nominal_history:seed96100000:epoch30,30,20,validation,96300000,u_1.00,1.0,914367980.1747015,0.7336551118911804,675.0,0.03134068485200232,5ebbc98dbd907dd8005e5a079d53d37321acce7a607ef1d5b680ecd4655c416b
routing_nominal_history,routing_nominal_history:seed96100000:epoch30,30,20,validation,96300001,anchor,-1.0,1050281123.1709942,0.6807151979565773,826.0,0.04059701492537313,5ebbc98dbd907dd8005e5a079d53d37321acce7a607ef1d5b680ecd4655c416b
routing_nominal_history,routing_nominal_history:seed96100000:epoch30,30,20,validation,96300001,u_0.00,0.0,1059258710.4202186,0.6751809280544913,840.0,0.04146634615384615,5ebbc98dbd907dd8005e5a079d53d37321acce7a607ef1d5b680ecd4655c416b
