phase,scenario,seed,family,tuning_value,total_cost,patients_lost,completion_service_level,max_requested_capacity,max_active_capacity,shared_budget,rng_sha256
discovery,scheduled_rotation_forward,99400001,forecast_iot,0.75,3154399167.44565,2663.0,0.491874637260592,23.62500059902668,23.625000342821398,31.500000000000007,aee282f980b4548a8cd1675482bab426e7b72285b8119c114b25795fdf0ebec1
discovery,scheduled_rotation_forward,99400001,forecast_iot,1.0,3064309553.065469,2455.0,0.522344747533372,31.500000000000018,31.499999998100655,31.500000000000007,aee282f980b4548a8cd1675482bab426e7b72285b8119c114b25795fdf0ebec1
discovery,scheduled_rotation_forward,99400001,graph_forecast_iot,0.0,3428547273.017928,3218.0,0.4116366802089379,0.0,0.0,31.500000000000007,aee282f980b4548a8cd1675482bab426e7b72285b8119c114b25795fdf0ebec1
discovery,scheduled_rotation_forward,99400001,graph_forecast_iot,0.25,3411535088.240159,3176.0,0.4184561810795125,7.875000366568566,7.875000160779668,31.500000000000007,aee282f980b4548a8cd1675482bab426e7b72285b8119c114b25795fdf0ebec1
discovery,scheduled_rotation_forward,99400001,graph_forecast_iot,0.5,3301583994.6215744,2971.0,0.4479106210098665,15.750000616908077,15.75000033023662,31.500000000000007,aee282f980b4548a8cd1675482bab426e7b72285b8119c114b25795fdf0ebec1
discovery,scheduled_rotation_forward,99400001,graph_forecast_iot,0.75,3150436044.3835087,2687.0,0.4891178177597214,23.625000643730168,23.625000362644894,31.500000000000007,aee282f980b4548a8cd1675482bab426e7b72285b8119c114b25795fdf0ebec1
discovery,scheduled_rotation_forward,99400001,graph_forecast_iot,1.0,3072475649.02092,2512.0,0.5161056297156124,31.50000000000001,31.49999999239244,31.500000000000007,aee282f980b4548a8cd1675482bab426e7b72285b8119c114b25795fdf0ebec1
discovery,scheduled_rotation_forward,99400002,static_ot,0.0,3702959554.2811837,3418.0,0.4008102822017323,0.0,0.0,31.500000000000007,a5b7d37e363b8db9042f97b70bd6627a4a2d173301e9642a018bbfda1b5f757d
discovery,scheduled_rotation_forward,99400002,static_ot,0.0625,3680615264.023631,3373.0,0.4082145850796312,7.875000000000002,7.874999999999992,31.500000000000007,a5b7d37e363b8db9042f97b70bd6627a4a2d173301e9642a018bbfda1b5f757d
discovery,scheduled_rotation_forward,99400002,static_ot,0.125,3520286566.8888273,3174.0,0.4402067616652696,15.750000000000004,15.749999999999984,31.500000000000007,a5b7d37e363b8db9042f97b70bd6627a4a2d173301e9642a018bbfda1b5f757d
discovery,scheduled_rotation_forward,99400002,static_ot,0.1875,3513020343.9023843,3139.0,0.44733165688739873,23.624999999999996,23.624999999999982,31.500000000000007,a5b7d37e363b8db9042f97b70bd6627a4a2d173301e9642a018bbfda1b5f757d
discovery,scheduled_rotation_forward,99400002,static_ot,0.25,3340297567.2999816,2869.0,0.48924280525286395,31.500000000000007,31.499999999999968,31.500000000000007,a5b7d37e363b8db9042f97b70bd6627a4a2d173301e9642a018bbfda1b5f757d
discovery,scheduled_rotation_forward,99400002,forecast_iot,0.0,3702959554.2811837,3418.0,0.4008102822017323,0.0,0.0,31.500000000000007,a5b7d37e363b8db9042f97b70bd6627a4a2d173301e9642a018bbfda1b5f757d
discovery,scheduled_rotation_forward,99400002,forecast_iot,0.25,3680137140.9103165,3368.0,0.4089131042190556,7.875000438094139,7.875000125536358,31.500000000000007,a5b7d37e363b8db9042f97b70bd6627a4a2d173301e9642a018bbfda1b5f757d
discovery,scheduled_rotation_forward,99400002,forecast_iot,0.5,3580526981.8976192,3160.0,0.4383906119027661,15.750000533647835,15.750000237538693,31.500000000000007,a5b7d37e363b8db9042f97b70bd6627a4a2d173301e9642a018bbfda1b5f757d
discovery,scheduled_rotation_forward,99400002,forecast_iot,0.75,3479137136.2096305,2941.0,0.4691254540374406,23.625000536441803,23.62500020281311,31.500000000000007,a5b7d37e363b8db9042f97b70bd6627a4a2d173301e9642a018bbfda1b5f757d
discovery,scheduled_rotation_forward,99400002,forecast_iot,1.0,3354184400.964883,2690.0,0.5065660799105896,31.500000000000014,31.499999986382278,31.500000000000007,a5b7d37e363b8db9042f97b70bd6627a4a2d173301e9642a018bbfda1b5f757d
discovery,scheduled_rotation_forward,99400002,graph_forecast_iot,0.0,3702959554.2811837,3418.0,0.4008102822017323,0.0,0.0,31.500000000000007,a5b7d37e363b8db9042f97b70bd6627a4a2d173301e9642a018bbfda1b5f757d
discovery,scheduled_rotation_forward,99400002,graph_forecast_iot,0.25,3683890880.772151,3379.0,0.40737636211232187,7.875000643730164,7.875000231239017,31.500000000000007,a5b7d37e363b8db9042f97b70bd6627a4a2d173301e9642a018bbfda1b5f757d
discovery,scheduled_rotation_forward,99400002,graph_forecast_iot,0.5,3607019455.4409533,3209.0,0.4316848281642917,15.750000637024641,15.750000155167479,31.500000000000007,a5b7d37e363b8db9042f97b70bd6627a4a2d173301e9642a018bbfda1b5f757d
discovery,scheduled_rotation_forward,99400002,graph_forecast_iot,0.75,3482432177.9854784,2978.0,0.46535345068454875,23.625000500679015,23.62500028186719,31.500000000000007,a5b7d37e363b8db9042f97b70bd6627a4a2d173301e9642a018bbfda1b5f757d
discovery,scheduled_rotation_forward,99400002,graph_forecast_iot,1.0,3348286313.1805615,2709.0,0.50600726459905,31.500000000000014,31.499999980978256,31.500000000000007,a5b7d37e363b8db9042f97b70bd6627a4a2d173301e9642a018bbfda1b5f757d
discovery,scheduled_rotation_reverse,99400000,static_ot,0.0,3476501875.328552,3171.0,0.4192340915634898,0.0,0.0,31.500000000000007,a0e66bf1ea9735fd0a2e50d060a07b2b90c8d0f7fc8cfa40e187bfd684e1306a
discovery,scheduled_rotation_reverse,99400000,static_ot,0.0625,3456986583.682351,3130.0,0.4255686726173337,7.875000000000002,7.874999999999992,31.500000000000007,a0e66bf1ea9735fd0a2e50d060a07b2b90c8d0f7fc8cfa40e187bfd684e1306a
discovery,scheduled_rotation_reverse,99400000,static_ot,0.125,3331080529.6079187,2965.0,0.4533544486035128,15.750000000000004,15.749999999999984,31.500000000000007,a0e66bf1ea9735fd0a2e50d060a07b2b90c8d0f7fc8cfa40e187bfd684e1306a
discovery,scheduled_rotation_reverse,99400000,static_ot,0.1875,3315524047.6411524,2921.0,0.46127267492081775,23.624999999999996,23.624999999999982,31.500000000000007,a0e66bf1ea9735fd0a2e50d060a07b2b90c8d0f7fc8cfa40e187bfd684e1306a
discovery,scheduled_rotation_reverse,99400000,static_ot,0.25,3151434501.921177,2662.0,0.5011517420097898,31.500000000000007,31.499999999999968,31.500000000000007,a0e66bf1ea9735fd0a2e50d060a07b2b90c8d0f7fc8cfa40e187bfd684e1306a
