scenario,seed,safety_multiplier,fixed_mean_lead,stochastic_cost,fixed_mean_cost,cost_difference,gap_fraction,stochastic_completion_service_level,fixed_completion_service_level,stochastic_patients_lost,fixed_patients_lost,rng_end_state_match
routing_nominal_history,99200000,1.25,2,2662731980.789404,2663739609.618233,-1007628.8288292885,-0.00037827602412448326,0.49191262297815574,0.49191262297815574,2329.0,2329.0,True
routing_nominal_history,99200001,1.25,2,2205484000.9931717,2205356911.8872046,127089.10596704483,5.762745489494942e-05,0.5426008968609866,0.5424140508221226,1878.0,1879.0,True
routing_nominal_history,99200002,1.25,2,2588585989.922541,2579635026.1290126,8950963.793528557,0.003469856666879085,0.4977145759268664,0.4973759945826985,2214.0,2214.0,True
routing_nominal_history,99200003,1.25,2,2330443239.2521486,2328075860.8492556,2367378.4028930664,0.0010168819851211694,0.5373511367737279,0.5375315770479971,2049.0,2048.0,True
routing_nominal_history,99200004,1.25,2,2843797810.689828,2843559025.0235677,238785.66626024246,8.397422531373808e-05,0.4716486397902327,0.4716486397902327,2561.0,2560.0,True
routing_nominal_history,99200005,1.25,2,2571691995.9730387,2571479873.171008,212122.80203056335,8.249055504719355e-05,0.5078257910854032,0.508506294658047,2298.0,2295.0,True
routing_nominal_history,99200006,1.25,2,2441477489.734364,2440965289.5045505,512200.22981357574,0.00020983511400833498,0.4963350785340314,0.4963350785340314,2127.0,2127.0,True
routing_nominal_history,99200007,1.25,2,2594425264.250866,2589086528.305411,5338735.945455074,0.002062015265650215,0.48542372881355933,0.48542372881355933,2260.0,2260.0,True
routing_nominal_history,99200008,1.25,2,2981609014.8209085,2973864095.019759,7744919.801149368,0.00260432876341577,0.4608390492901579,0.4608390492901579,2676.0,2676.0,True
routing_nominal_history,99200009,1.25,2,2018440299.182045,2011538100.4944332,6902198.687611818,0.003431303978739089,0.5488259411106969,0.5503168095415579,1731.0,1723.0,True
routing_nominal_history,99200010,1.25,2,2629073036.570038,2625023923.9426484,4049112.627389431,0.001542505037938045,0.49863107460643397,0.49863107460643397,2293.0,2293.0,True
routing_nominal_history,99200011,1.25,2,2523388739.2151375,2523573110.0381985,-184370.82306098938,-7.305943399365142e-05,0.515283084404307,0.515283084404307,2168.0,2168.0,True
routing_nominal_history,99200012,1.25,2,2480903900.60915,2486871838.5365024,-5967937.927352428,-0.002399777035098237,0.5185443148180393,0.5185443148180393,2165.0,2165.0,True
routing_nominal_history,99200013,1.25,2,2262054942.16791,2257516400.1487823,4538542.019127846,0.0020104137532860147,0.5256771016531833,0.5256771016531833,1986.0,1986.0,True
routing_nominal_history,99200014,1.25,2,2841162155.350105,2835611860.0210366,5550295.329068184,0.0019573536869841586,0.46875507222853435,0.46875507222853435,2567.0,2567.0,True
routing_nominal_history,99200015,1.25,2,1970225622.1984904,1968371399.190754,1854223.0077364445,0.000942008712633582,0.5702788695489426,0.5702788695489426,1654.0,1654.0,True
routing_nominal_history,99200016,1.25,2,2704087976.2915893,2698663311.5522795,5424664.739309788,0.0020101302434016874,0.48863636363636365,0.48863636363636365,2352.0,2352.0,True
routing_nominal_history,99200017,1.25,2,2381507840.958896,2378649235.088338,2858605.870558262,0.0012017769700508614,0.5135420330636652,0.5135420330636652,2021.0,2021.0,True
routing_nominal_history,99200018,1.25,2,2964296431.787489,2962322888.9235616,1973542.8639273643,0.0006662146355843415,0.44615143439410565,0.44615143439410565,2655.0,2655.0,True
routing_nominal_history,99200019,1.25,2,2373831587.3388247,2367354792.851753,6476794.487071514,0.002735878249693813,0.5268310369833212,0.5268310369833212,2013.0,2013.0,True
routing_nominal_history,99200020,1.25,2,2421332566.3516355,2420252432.799701,1080133.5519342422,0.0004462896255349549,0.5149982560167422,0.5149982560167422,2102.0,2102.0,True
routing_nominal_history,99200021,1.25,2,2775720264.815273,2772712693.9544034,3007570.8608694077,0.001084703390808246,0.4715338245144005,0.4722036168787676,2509.0,2505.0,True
routing_nominal_history,99200022,1.25,2,2870483715.7321897,2870397482.6216006,86233.1105890274,3.0042219278379767e-05,0.47282876374979477,0.47282876374979477,2567.0,2567.0,True
routing_nominal_history,99200023,1.25,2,2722211748.6280484,2716276334.521525,5935414.106523514,0.0021851289690557364,0.4845924453280318,0.4845924453280318,2384.0,2384.0,True
routing_abrupt_regime_shift,99200000,1.25,2,2317014885.6737943,2315903042.5507355,1111843.123058796,0.00048009053169782614,0.5239322533136966,0.5239322533136966,2012.0,2012.0,True
routing_abrupt_regime_shift,99200001,1.25,2,2112564778.599368,2111608755.6228373,956022.9765307903,0.0004527462646596211,0.5546963410033949,0.5541305167861185,1757.0,1759.0,True
routing_abrupt_regime_shift,99200002,1.25,2,2107111134.022737,2107192088.2486532,-80954.22591614723,-3.8418057075864675e-05,0.5541871921182266,0.5538082607048125,1805.0,1806.0,True
routing_abrupt_regime_shift,99200003,1.25,2,2108297596.4102976,2106670966.8392222,1626629.5710754395,0.0007721327139738292,0.5636669156086632,0.5640403286034354,1791.0,1791.0,True
routing_abrupt_regime_shift,99200004,1.25,2,2381914677.8334775,2381850374.636453,64303.1970243454,2.6997160572758536e-05,0.5144835124795044,0.5144835124795044,2067.0,2067.0,True
routing_abrupt_regime_shift,99200005,1.25,2,2230100916.883682,2225994944.77176,4105972.1119217873,0.0018445559014253685,0.5415817744026672,0.5415817744026672,1897.0,1897.0,True
routing_abrupt_regime_shift,99200006,1.25,2,2159882067.7058845,2159685558.588898,196509.11698627472,9.09896888483481e-05,0.5354285714285715,0.5354285714285715,1838.0,1838.0,True
routing_abrupt_regime_shift,99200007,1.25,2,2264194609.7451096,2265879122.603654,-1684512.8585443497,-0.000743425737825205,0.524787273399926,0.524787273399926,1978.0,1978.0,True
routing_abrupt_regime_shift,99200008,1.25,2,2151931517.1051083,2152119584.20364,-188067.09853172302,-8.738691841852945e-05,0.548753256419799,0.548753256419799,1805.0,1805.0,True
routing_abrupt_regime_shift,99200009,1.25,2,2150890187.3122973,2149242574.0868664,1647613.2254309654,0.0007666017997670529,0.5519105312208761,0.5519105312208761,1817.0,1818.0,True
routing_abrupt_regime_shift,99200010,1.25,2,2248693234.386541,2249372470.173935,-679235.7873940468,-0.0003019667913609364,0.5364335408275357,0.5364335408275357,1947.0,1947.0,True
routing_abrupt_regime_shift,99200011,1.25,2,1953206348.8988144,1951906080.074824,1300268.823990345,0.0006661533755458668,0.5801031124689708,0.5801031124689708,1618.0,1618.0,True
routing_abrupt_regime_shift,99200012,1.25,2,2218283549.9004188,2215192397.8449235,3091152.055495262,0.0013954327662475396,0.5395374860126818,0.5395374860126818,1887.0,1890.0,True
routing_abrupt_regime_shift,99200013,1.25,2,2174452936.5618644,2175458964.832318,-1006028.2704534531,-0.0004624441493572354,0.5521803950801342,0.5521803950801342,1849.0,1849.0,True
routing_abrupt_regime_shift,99200014,1.25,2,2324593413.40095,2323056906.4390078,1536506.961942196,0.0006614159806775862,0.5315511911256592,0.5320967448627023,2019.0,2015.0,True
routing_abrupt_regime_shift,99200015,1.25,2,2121340101.2569516,2118338767.9277747,3001333.329176903,0.0014168334992579591,0.5463762673676305,0.5465640255351107,1810.0,1811.0,True
routing_abrupt_regime_shift,99200016,1.25,2,2077650997.4790473,2077486546.850788,164450.62825918198,7.915845640900478e-05,0.5551526717557251,0.5551526717557251,1738.0,1738.0,True
routing_abrupt_regime_shift,99200017,1.25,2,2331010896.41932,2332946403.438948,-1935507.019628048,-0.0008296405853023271,0.517756328537607,0.517756328537607,2021.0,2021.0,True
routing_abrupt_regime_shift,99200018,1.25,2,2259076567.0077043,2258961939.834785,114627.17291927338,5.0743295359662826e-05,0.5336749633967789,0.5336749633967789,1951.0,1951.0,True
routing_abrupt_regime_shift,99200019,1.25,2,2117589947.292652,2099024267.2042112,18565680.088440657,0.00884490969376412,0.5499907252828788,0.5544425895010202,1791.0,1776.0,True
routing_abrupt_regime_shift,99200020,1.25,2,2292025462.925181,2291452061.4501715,573401.4750094414,0.0002502349862150543,0.5344070278184481,0.5344070278184481,1990.0,1990.0,True
