scenario,state_id,state_seed,epoch,arm,shift,world_seed,remaining_cost,completion_service_level,patients_lost,manufacturing_ineligibility
routing_nominal_history,routing_nominal_history:seed98100000:epoch30,98100000,30,shift_+0.00,0.0,98200033,1112234205.28778,0.543577034283354,982.0,0.07162921348314606
routing_nominal_history,routing_nominal_history:seed98100000:epoch30,98100000,30,shift_+0.00,0.0,98200034,1156468256.5517137,0.5189620758483033,998.0,0.08579465541490858
routing_nominal_history,routing_nominal_history:seed98100000:epoch30,98100000,30,shift_+0.00,0.0,98200035,1336699146.4122715,0.4990395697272378,1196.0,0.08771929824561403
routing_nominal_history,routing_nominal_history:seed98100000:epoch30,98100000,30,shift_+0.00,0.0,98200036,994774629.9727957,0.6028466483011937,880.0,0.06591070163004961
routing_nominal_history,routing_nominal_history:seed98100000:epoch30,98100000,30,shift_+0.00,0.0,98200037,1394233730.213431,0.47446577327055417,1215.0,0.0803633822501747
routing_nominal_history,routing_nominal_history:seed98100000:epoch30,98100000,30,shift_+0.00,0.0,98200038,1025945865.3745008,0.5681917211328976,891.0,0.07218683651804671
routing_nominal_history,routing_nominal_history:seed98100000:epoch30,98100000,30,shift_+0.00,0.0,98200039,1045045001.33869,0.5849977807367954,924.0,0.06830985915492958
routing_nominal_history,routing_nominal_history:seed98100000:epoch30,98100000,30,shift_+0.00,0.0,98200040,1032326032.0476809,0.5563941299790356,865.0,0.06285310734463277
routing_nominal_history,routing_nominal_history:seed98100000:epoch30,98100000,30,shift_+0.00,0.0,98200041,1283768189.8354726,0.5017448623497479,1133.0,0.0876577840112202
routing_nominal_history,routing_nominal_history:seed98100000:epoch30,98100000,30,shift_+0.00,0.0,98200042,976474373.1276073,0.5985663082437276,848.0,0.058491895701198025
routing_nominal_history,routing_nominal_history:seed98100000:epoch30,98100000,30,shift_+0.00,0.0,98200043,1142841869.5054922,0.535449299258038,1025.0,0.0824524312896406
routing_nominal_history,routing_nominal_history:seed98100000:epoch30,98100000,30,shift_+0.00,0.0,98200044,1103479696.6363049,0.5635593220338984,950.0,0.055909412597310686
routing_nominal_history,routing_nominal_history:seed98100000:epoch30,98100000,30,shift_+0.00,0.0,98200045,1210960601.0935972,0.5177644710578843,1099.0,0.08932309839497557
routing_nominal_history,routing_nominal_history:seed98100000:epoch30,98100000,30,shift_+0.00,0.0,98200046,1095090254.4533043,0.5301689460981497,922.0,0.07482517482517483
routing_nominal_history,routing_nominal_history:seed98100000:epoch30,98100000,30,shift_+0.00,0.0,98200047,1121373238.9630494,0.527755749405234,961.0,0.06587245970567625
routing_nominal_history,routing_nominal_history:seed98100000:epoch30,98100000,30,shift_+0.00,0.0,98200048,1426293484.4938831,0.44770898915704793,1296.0,0.10161177295024527
routing_nominal_history,routing_nominal_history:seed98100000:epoch30,98100000,30,shift_+0.00,0.0,98200049,1248515417.8029048,0.5167731629392971,1150.0,0.09403508771929825
routing_nominal_history,routing_nominal_history:seed98100000:epoch30,98100000,30,shift_+0.00,0.0,98200050,1093746525.334853,0.570995670995671,988.0,0.07600281491907107
routing_nominal_history,routing_nominal_history:seed98100000:epoch30,98100000,30,shift_+0.00,0.0,98200051,1090220661.4349144,0.5460636515912898,956.0,0.07365439093484419
routing_nominal_history,routing_nominal_history:seed98100000:epoch30,98100000,30,shift_+0.00,0.0,98200052,1288479234.2392278,0.5114263199369582,1176.0,0.09198606271777003
routing_nominal_history,routing_nominal_history:seed98100000:epoch30,98100000,30,shift_+0.00,0.0,98200053,1305531873.157857,0.5112426035502958,1199.0,0.09377186843946816
routing_nominal_history,routing_nominal_history:seed98100000:epoch30,98100000,30,shift_+0.00,0.0,98200054,1088991085.4936614,0.5291734197730956,937.0,0.07415254237288135
