role,checkpoint_variant,training_seed,scenario,step,configured_horizon,candidate_index,candidate_label,executed_action_id,policy_executed_action_id,policy_candidate_index,true_cost_advantage,true_best_index,critic_q,critic_best_index,gradient_score,gradient_best_index,policy_linf_to_candidate
control,pretrain,60,routing_persistent_hotspot_cluster1,12,4,4,specimen_transfer:-1x0.1,9239e6834dda0be5,d685d32f6c2e567a,0,-406955.3659223318,3,-0.8001474142074585,1,-0.0005112979561090469,3,0.10000000149011612
control,pretrain,60,routing_persistent_hotspot_cluster1,12,remaining,0,mdl2,d685d32f6c2e567a,d685d32f6c2e567a,0,0.0,4,-0.7997471690177917,1,0.0,3,0.0
control,pretrain,60,routing_persistent_hotspot_cluster1,12,remaining,1,specimen_transfer:+1x0.05,363b5856c57c75a6,d685d32f6c2e567a,0,1998011.123052597,4,-0.7991654872894287,1,0.00025564897805452347,3,0.05000000074505806
control,pretrain,60,routing_persistent_hotspot_cluster1,12,remaining,2,specimen_transfer:-1x0.05,b20595646c0c939c,d685d32f6c2e567a,0,5454283.388300419,4,-0.8003201484680176,1,-0.00025564897805452347,3,0.05000000074505806
control,pretrain,60,routing_persistent_hotspot_cluster1,12,remaining,3,specimen_transfer:+1x0.1,258eaf1ba1cc0415,d685d32f6c2e567a,0,2536538.5039014816,4,-0.7993357181549072,1,0.0005112980725243688,3,0.10000000149011612
control,pretrain,60,routing_persistent_hotspot_cluster1,12,remaining,4,specimen_transfer:-1x0.1,9239e6834dda0be5,d685d32f6c2e567a,0,6922214.241900444,4,-0.8001474142074585,1,-0.0005112979561090469,3,0.10000000149011612
control,pretrain,60,routing_persistent_hotspot_cluster1,18,4,0,mdl2,8d645b30efef012f,8d645b30efef012f,0,0.0,3,-0.7609226703643799,3,0.0,3,0.0
control,pretrain,60,routing_persistent_hotspot_cluster1,18,4,1,specimen_transfer:+1x0.05,667f54db89876634,8d645b30efef012f,0,2153224.403139323,3,-0.7606611251831055,3,0.0003344753058627248,3,0.05000000074505806
control,pretrain,60,routing_persistent_hotspot_cluster1,18,4,2,specimen_transfer:-1x0.05,0f03c118acfe7ce5,8d645b30efef012f,0,-1553769.3150782883,3,-0.7611842155456543,3,-0.0003344753058627248,3,0.05000000074505806
control,pretrain,60,routing_persistent_hotspot_cluster1,18,4,3,specimen_transfer:+1x0.1,71ca1d53abe427d7,8d645b30efef012f,0,3636309.1681914628,3,-0.7603501081466675,3,0.0006689506117254496,3,0.10000000149011612
