scope,experiment,comparison,baseline_mean,candidate_mean,cost_difference,relative_difference_pct,ci_low,ci_high,ci_low_pct,ci_high_pct,n_pairs,n_training_seeds,favorable_cost_interval,source
development_backbone_ablation,routing_stage_c_td3_final,AFR-GCN-TD3 vs MDL-2,2674612059.5928555,2654959005.1503086,-19653054.442546844,-0.734800188014502,-23017377.088682387,-16719955.894934023,-0.8605875011341355,-0.6251357401521336,600,3,True,experiments/evidence/patient_indexed_specimen_routing_stage_c_td3/evaluation/final/summary.json
development_backbone_ablation,routing_stage_c_td3_final,AFR-Flat-TD3 vs MDL-2,2674612059.5928555,2666000735.795415,-8611323.797440529,-0.3219653394799765,-9958497.7006572,-7248102.968673858,-0.3723342854504716,-0.2709964214315703,600,3,True,experiments/evidence/patient_indexed_specimen_routing_stage_c_td3/evaluation/final/summary.json
development_backbone_ablation,routing_stage_c_td3_final,AFR-GCN-TD3 vs AFR-Flat-TD3,2666000735.795415,2654959005.1503086,-11041730.645106316,-0.41416832699455197,-13828708.291758418,-8472694.008298878,-0.5187060943414388,-0.31780538896854454,600,3,True,experiments/evidence/patient_indexed_specimen_routing_stage_c_td3/evaluation/final/summary.json
