scope,experiment,comparison,baseline_mean,candidate_mean,cost_difference,relative_difference_pct,ci_low,ci_high,ci_low_pct,ci_high_pct,n_pairs,n_training_seeds,supports_online_gain,note,source,source_secondary,favorable_cost_interval
formal_holdout_checkpoint_point_estimate,routing_primary_ddpg_formal,final minus frozen pretraining,2668681178.9528155,2668754081.562337,72902.60952138901,0.002731784152275388,,,,,,,False,Compact top-level summaries preserve the point estimate; Stage B provides the paired curve interval.,experiments/evidence/patient_indexed_specimen_routing_primary_ddpg/formal/final_summary.json,experiments/evidence/patient_indexed_specimen_routing_primary_ddpg/formal/pretrain_summary.json,
development_checkpoint_curve,routing_primary_ddpg_episode75_to_episode100,AFR-GCN-DDPG vs MDL-2,2680334495.2372823,2680403108.045904,68612.80862188339,0.0025598599258339692,-344647.5025547681,501630.14928675763,-0.012858376563342235,0.018715207007860776,1000,5,False,Late DDPG segment; paired interval crosses zero.,experiments/evidence/patient_indexed_specimen_routing_primary_ddpg/development/checkpoint_curve_summary.json,,False
development_backbone_ablation,routing_stage_c_td3,final minus frozen pretraining,2654937869.666763,2654959005.1503086,21135.483545780182,0.0007960820397063764,,,,,,,False,Final and frozen-pretrain TD3 are statistically indistinguishable in the audited recovery report.,experiments/evidence/patient_indexed_specimen_routing_stage_c_td3/evaluation/final/summary.json,experiments/evidence/patient_indexed_specimen_routing_stage_c_td3/evaluation/pretrain/summary.json,
development_mechanism_screen,routing_ddpg_structured_exploration_final_vs_frozen,candidate final minus candidate frozen pretraining,2037873906.8245635,2037958618.883892,84712.05932855606,0.004156884243174558,-563652.9501149933,833766.5329578589,-0.02765887272158478,0.04091354868256018,150,3,False,"Two of three seeds favored final, but the effect gate and paired interval failed.",experiments/evidence/patient_indexed_specimen_routing_ddpg_structured_exploration/comparison/structured_exploration_summary.json,,False
development_mechanism_screen,routing_ddpg_structured_exploration_candidate_vs_control,structured-exploration candidate minus unchanged DDPG control,2037976822.492513,2037958618.883892,-18203.608620882034,-0.000893219609760744,-278651.8266684917,271812.45968804945,-0.013672963479912951,0.013337367564151874,150,3,False,No-regression check passed; paired interval crosses zero.,experiments/evidence/patient_indexed_specimen_routing_ddpg_structured_exploration/comparison/structured_exploration_summary.json,,False
