scope,experiment,comparison,baseline_mean,candidate_mean,cost_difference,relative_difference_pct,ci_low,ci_high,ci_low_pct,ci_high_pct,n_pairs,n_training_seeds,favorable_cost_interval,source
formal_holdout,routing_primary_ddpg_final,AFR-GCN-DDPG vs MDL-2,2686443621.7765636,2668754081.562337,-17689540.214226723,-0.6584742769523861,-19361227.288247786,-15725338.49798524,-0.7207010462197629,-0.5853589619567734,2000,5,True,experiments/evidence/patient_indexed_specimen_routing_primary_ddpg/formal/final_summary.json
formal_holdout,routing_primary_ddpg_final,AFR-Flat-DDPG vs MDL-2,2686443621.7765636,2677357946.587818,-9085675.188745499,-0.33820457332869985,-10587379.477904543,-7509749.293102153,-0.3941039146357755,-0.2795424118424605,2000,5,True,experiments/evidence/patient_indexed_specimen_routing_primary_ddpg/formal/final_summary.json
formal_holdout,routing_primary_ddpg_final,AFR-GCN-DDPG vs AFR-Flat-DDPG,2677357946.587818,2668754081.562337,-8603865.025481224,-0.32135654615948883,-11064605.447635679,-6427714.469363891,-0.4132658265487833,-0.24007676962117624,2000,5,True,experiments/evidence/patient_indexed_specimen_routing_primary_ddpg/formal/final_summary.json
