training_seed,scenario,step,configured_horizon,horizon,candidate_index,candidate_label,executed_action_id,discovery_seed_start,discovery_replications,discovery_total_cost,discovery_cost_advantage,validation_seed_start,validation_replications,validation_total_cost,validation_cost_advantage
60,routing_persistent_hotspot_cluster1,2,remaining,50,3,specimen_transfer:+1x0.1,2ede7cbd1ef159dc,103000210,3,2729109647.154533,-36311293.671583176,107000210,5,2792194531.7830553,-24881535.545464993
60,routing_persistent_hotspot_cluster1,2,remaining,50,4,specimen_transfer:-1x0.1,c3e9b37eb35e31ad,103000210,3,2677017888.550277,15780464.9326725,107000210,5,2755107188.558901,12205807.67868948
60,routing_persistent_hotspot_cluster1,3,4,4,0,mdl2,fd5c8e121a77cfa3,103000300,3,52397201.84517477,0.0,107000300,5,53278258.83780361,0.0
60,routing_persistent_hotspot_cluster1,3,4,4,1,specimen_transfer:+1x0.05,8668ae407ca54e41,103000300,3,52512375.259040594,-115173.41386582702,107000300,5,53325418.98719726,-47160.14939364791
60,routing_persistent_hotspot_cluster1,3,4,4,2,specimen_transfer:-1x0.05,81180aaa16668017,103000300,3,52690610.03277745,-293408.1876026839,107000300,5,53486443.40646959,-208184.5686659813
60,routing_persistent_hotspot_cluster1,3,4,4,3,specimen_transfer:+1x0.1,97558a7d75550dae,103000300,3,52264582.3580581,132619.48711666465,107000300,5,53024500.73907234,253758.09873127192
60,routing_persistent_hotspot_cluster1,3,4,4,4,specimen_transfer:-1x0.1,40756dc6c20e4c08,103000300,3,53347975.978428744,-950774.1332539767,107000300,5,54124157.24531235,-845898.4075087383
60,routing_persistent_hotspot_cluster1,3,remaining,49,0,mdl2,fd5c8e121a77cfa3,103000310,3,2497558656.572022,0.0,107000310,5,2753795350.287404,0.0
60,routing_persistent_hotspot_cluster1,3,remaining,49,1,specimen_transfer:+1x0.05,8668ae407ca54e41,103000310,3,2502691629.85697,-5132973.284947872,107000310,5,2755631398.692281,-1836048.404876709
60,routing_persistent_hotspot_cluster1,3,remaining,49,2,specimen_transfer:-1x0.05,81180aaa16668017,103000310,3,2507090453.3838115,-9531796.811789513,107000310,5,2761468194.7083616,-7672844.420957565
60,routing_persistent_hotspot_cluster1,3,remaining,49,3,specimen_transfer:+1x0.1,97558a7d75550dae,103000310,3,2501886362.6277184,-4327706.055696487,107000310,5,2756695483.2743354,-2900132.986931324
60,routing_persistent_hotspot_cluster1,3,remaining,49,4,specimen_transfer:-1x0.1,40756dc6c20e4c08,103000310,3,2531846982.370237,-34288325.79821491,107000310,5,2793430602.844911,-39635252.55750704
60,routing_persistent_hotspot_cluster1,4,4,4,0,mdl2,d455022163e3b3f4,103000400,3,65315282.24313572,0.0,107000400,5,63371733.992240116,0.0
60,routing_persistent_hotspot_cluster1,4,4,4,1,specimen_transfer:+1x0.05,e1cdb11ab9290870,103000400,3,63721367.35646436,1593914.8866713569,107000400,5,61985370.81786092,1386363.1743791923
60,routing_persistent_hotspot_cluster1,4,4,4,2,specimen_transfer:-1x0.05,da498707561983da,103000400,3,66037437.43712718,-722155.1939914599,107000400,5,64038563.37900226,-666829.3867621422
60,routing_persistent_hotspot_cluster1,4,4,4,3,specimen_transfer:+1x0.1,130f5a668c81264c,103000400,3,62833118.074234255,2482164.168901466,107000400,5,60841162.715354,2530571.276886113
60,routing_persistent_hotspot_cluster1,4,4,4,4,specimen_transfer:-1x0.1,fad3d879e8196dcc,103000400,3,66410789.57205885,-1095507.3289231285,107000400,5,64335428.16070469,-963694.1684645712
60,routing_persistent_hotspot_cluster1,4,remaining,48,0,mdl2,d455022163e3b3f4,103000410,3,2675597072.35351,0.0,107000410,5,2661630003.915964,0.0
60,routing_persistent_hotspot_cluster1,4,remaining,48,1,specimen_transfer:+1x0.05,e1cdb11ab9290870,103000410,3,2675864353.5659356,-267281.21242570877,107000410,5,2663207688.9579535,-1577685.0419893265
60,routing_persistent_hotspot_cluster1,4,remaining,48,2,specimen_transfer:-1x0.05,da498707561983da,103000410,3,2699590005.599074,-23992933.245563984,107000410,5,2687712591.3456964,-26082587.429732323
60,routing_persistent_hotspot_cluster1,4,remaining,48,3,specimen_transfer:+1x0.1,130f5a668c81264c,103000410,3,2676369986.343006,-772913.9894962311,107000410,5,2662535798.7022734,-905794.7863092422
60,routing_persistent_hotspot_cluster1,4,remaining,48,4,specimen_transfer:-1x0.1,fad3d879e8196dcc,103000410,3,2723554457.8570127,-47957385.503502846,107000410,5,2713045248.6384344,-51415244.72247028
60,routing_persistent_hotspot_cluster1,5,4,4,0,mdl2,a204b2c10e678b9c,103000500,3,87090059.48805405,0.0,107000500,5,87192479.35315537,0.0
60,routing_persistent_hotspot_cluster1,5,4,4,1,specimen_transfer:+1x0.05,83635b1df00850d5,103000500,3,84928936.1819706,2161123.3060834557,107000500,5,86100370.31564112,1092109.0375142545
